Point Name,X Pos[µm],Y Pos[µm],Image,Well,CellLine,Condition
2,12065.8,-8723.4,0,A1,786O,NTC
4,10465.8,-8735.5,1,A1,786O,NTC
6,8866.0,-8747.5,2,A1,786O,NTC
9,7259.9,-7959.6,3,A1,786O,NTC
10,8060.0,-7953.5,4,A1,786O,NTC
11,8859.9,-7947.4,5,A1,786O,NTC
12,9660.1,-7941.5,6,A1,786O,NTC
13,10460.0,-7935.7,7,A1,786O,NTC
14,11259.8,-7929.5,8,A1,786O,NTC
24,7253.9,-7159.4,9,A1,786O,NTC
25,7247.8,-6359.7,10,A1,786O,NTC
32,12847.7,-6317.7,11,A1,786O,NTC
36,10441.7,-5535.6,12,A1,786O,NTC
37,9641.9,-5541.8,13,A1,786O,NTC
38,8841.8,-5547.8,14,A1,786O,NTC
39,8042.0,-5553.6,15,A1,786O,NTC
40,7241.7,-5559.4,16,A1,786O,NTC
41,7235.8,-4759.7,17,A1,786O,NTC
42,8035.9,-4753.7,18,A1,786O,NTC
45,10435.9,-4735.7,19,A1,786O,NTC
57,7223.8,-3159.6,20,A1,786O,NTC
64,12823.7,-3117.7,21,A1,786O,NTC
6,8929.1,2758.3,22,B1,786O,ALY kd5
9,7323.1,3546.3,23,B1,786O,ALY kd5
16,12923.1,3588.4,24,B1,786O,ALY kd5
17,12917.2,4388.4,25,B1,786O,ALY kd5
18,12117.0,4382.4,26,B1,786O,ALY kd5
19,11316.9,4376.5,27,B1,786O,ALY kd5
20,10517.2,4370.5,28,B1,786O,ALY kd5
21,9717.2,4364.4,29,B1,786O,ALY kd5
26,8111.3,5152.4,30,B1,786O,ALY kd5
27,8911.2,5158.2,31,B1,786O,ALY kd5
28,9711.2,5164.3,32,B1,786O,ALY kd5
30,11311.1,5176.4,33,B1,786O,ALY kd5
31,12111.1,5182.3,34,B1,786O,ALY kd5
32,12911.0,5188.4,35,B1,786O,ALY kd5
33,12905.1,5988.5,36,B1,786O,ALY kd5
34,12105.0,5983.2,37,B1,786O,ALY kd5
35,11305.0,5976.3,38,B1,786O,ALY kd5
37,9705.5,5964.2,39,B1,786O,ALY kd5
38,8905.1,5958.3,40,B1,786O,ALY kd5
39,8105.1,5952.2,41,B1,786O,ALY kd5
40,7305.1,5946.5,42,B1,786O,ALY kd5
43,8899.2,6758.3,43,B1,786O,ALY kd5
44,9699.2,6764.2,44,B1,786O,ALY kd5
49,12893.1,7588.2,45,B1,786O,ALY kd5
53,9693.0,7564.4,46,B1,786O,ALY kd5
54,8893.4,7558.6,47,B1,786O,ALY kd5
60,9687.2,8364.3,48,B1,786O,ALY kd5
1,1377.3,-8725.9,49,A2,786O,ALY kd8
2,577.2,-8731.9,50,A2,786O,ALY kd8
3,-222.5,-8737.8,51,A2,786O,ALY kd8
4,-1022.5,-8743.9,52,A2,786O,ALY kd8
5,-1822.5,-8749.7,53,A2,786O,ALY kd8
6,-2622.7,-8755.9,54,A2,786O,ALY kd8
7,-3422.4,-8761.8,55,A2,786O,ALY kd8
8,-4222.7,-8767.8,56,A2,786O,ALY kd8
9,-4228.7,-7968.1,57,A2,786O,ALY kd8
11,-2628.6,-7955.8,58,A2,786O,ALY kd8
12,-1828.5,-7949.9,59,A2,786O,ALY kd8
13,-1028.3,-7943.7,60,A2,786O,ALY kd8
14,-228.4,-7937.9,61,A2,786O,ALY kd8
15,571.3,-7931.8,62,A2,786O,ALY kd8
16,1371.4,-7925.6,63,A2,786O,ALY kd8
17,1365.4,-7125.6,64,A2,786O,ALY kd8
18,565.3,-7131.8,65,A2,786O,ALY kd8
19,-234.5,-7138.0,66,A2,786O,ALY kd8
20,-1034.5,-7143.8,67,A2,786O,ALY kd8
21,-1834.2,-7149.9,68,A2,786O,ALY kd8
22,-2634.6,-7155.8,69,A2,786O,ALY kd8
23,-3434.5,-7161.7,70,A2,786O,ALY kd8
24,-4234.4,-7167.8,71,A2,786O,ALY kd8
25,-4240.4,-6368.3,72,A2,786O,ALY kd8
26,-3440.3,-6361.9,73,A2,786O,ALY kd8
27,-2640.3,-6356.0,74,A2,786O,ALY kd8
28,-1840.3,-6349.8,75,A2,786O,ALY kd8
29,-1040.5,-6343.8,76,A2,786O,ALY kd8
30,-240.8,-6337.8,77,A2,786O,ALY kd8
31,559.3,-6331.7,78,A2,786O,ALY kd8
32,1359.4,-6325.8,79,A2,786O,ALY kd8
34,553.3,-5531.9,80,A2,786O,ALY kd8
35,-246.5,-5537.6,81,A2,786O,ALY kd8
36,-1046.5,-5544.1,82,A2,786O,ALY kd8
37,-1846.5,-5549.8,83,A2,786O,ALY kd8
38,-2646.7,-5555.9,84,A2,786O,ALY kd8
39,-3446.4,-5561.8,85,A2,786O,ALY kd8
42,-3452.3,-4761.7,86,A2,786O,ALY kd8
44,-1852.5,-4749.9,87,A2,786O,ALY kd8
45,-1052.6,-4743.7,88,A2,786O,ALY kd8
